Data;Kluch_stavka;Inflation
2017-01-01;10.0;5.0
2017-02-01;10.0;4.6
2017-03-01;9.75;4.3
2017-04-01;9.75;4.1
2017-05-01;9.25;4.1
2017-06-01;9.0;4.4
2017-07-01;9.0;3.9
2017-08-01;9.0;3.3
2017-09-01;8.5;3.0
2017-10-01;8.25;2.7
2017-11-01;8.25;2.5
2017-12-01;7.75;2.5
2018-01-01;7.75;2.2
2018-02-01;7.5;2.2
2018-03-01;7.25;2.4
2018-04-01;7.25;2.4
2018-05-01;7.25;2.4
2018-06-01;7.25;2.3
2018-07-01;7.25;2.5
2018-08-01;7.25;3.1
2018-09-01;7.5;3.4
2018-10-01;7.5;3.5
2018-11-01;7.5;3.8
2018-12-01;7.75;4.3
2019-01-01;7.75;5.0
2019-02-01;7.75;5.2
2019-03-01;7.75;5.3
2019-04-01;7.75;5.2
2019-05-01;7.75;5.1
2019-06-01;7.5;4.7
2019-07-01;7.25;4.6
2019-08-01;7.25;4.3
2019-09-01;7.0;4.0
2019-10-01;6.5;3.8
2019-11-01;6.5;3.5
2019-12-01;6.25;3.0
202-01-01;6.25;2.4
202-02-01;6.0;2.3
202-03-01;6.0;2.5
202-04-01;5.5;3.1
202-05-01;5.5;3.0
202-06-01;4.5;3.2
202-07-01;4.25;3.4
202-08-01;4.25;3.6
202-09-01;4.25;3.7
202-10-01;4.25;4.0
202-11-01;4.25;4.4
202-12-01;4.25;4.9
2021-01-01;4.25;5.2
2021-02-01;4.25;5.7
2021-03-01;4.5;5.8
2021-04-01;5.0;5.5
2021-05-01;5.0;6.0
2021-06-01;5.5;6.5
2021-07-01;6.5;6.5
2021-08-01;6.5;6.68
2021-09-01;6.75;7.4
2021-10-01;7.5;8.13
2021-11-01;7.5;8.4
2021-12-01;8.5;8.39
2022-01-01;8.5;8.73
2022-02-01;20.0;9.15
2022-03-01;20.0;16.69
2022-04-01;17.0;17.83
2022-05-01;11.0;17.1
2022-06-01;9.5;15.9
2022-07-01;8.0;15.1
2022-08-01;8.0;14.3
2022-09-01;7.5;13.68
2022-10-01;7.5;12.63
2022-11-01;7.5;11.98
2022-12-01;7.5;11.94
2023-01-01;7.5;11.77
2023-02-01;7.5;10.99
2023-03-01;7.5;3.51
2023-04-01;7.5;2.31
2023-05-01;7.5;2.51
2023-06-01;7.5;3.25
2023-07-01;8.5;4.3
2023-08-01;12.0;5.15
2023-09-01;13.0;6.0
2023-10-01;15.0;6.69
