data,rub-usd,rub-uan
2017-01-01,59,8
2017-02-01,58,8
2017-03-01,58,8
2017-04-01,56,8
2017-05-01,56,8
2017-06-01,57,8
2017-07-01,59,8
2017-08-01,59,8
2017-09-01,57,8
2017-10-01,57,8
2017-11-01,58,8
2017-12-01,58,8
2018-01-01,56,8
2018-02-01,56,8
2018-03-01,57,9
2018-04-01,60,9
2018-05-01,62,9
2018-06-01,62,9
2018-07-01,62,9
2018-08-01,66,9
2018-09-01,67,9
2018-10-01,65,9
2018-11-01,66,9
2018-12-01,67,9
2019-01-01,66,9
2019-02-01,65,9
2019-03-01,65,9
2019-04-01,64,9
2019-05-01,64,9
2019-06-01,64,9
2019-07-01,63,9
2019-08-01,65,9
2019-09-01,64,9
2019-10-01,64,9
2019-11-01,63,9
2019-12-01,62,8
2020-01-01,61,8
2020-02-01,63,9
2020-03-01,73,10
2020-04-01,74,10
2020-05-01,72,10
2020-06-01,69,9
2020-07-01,71,10
2020-08-01,73,10
2020-09-01,75,11
2020-10-01,77,11
2020-11-01,76,11
2020-12-01,74,11
2021-01-01,74,11
2021-02-01,74,11
2021-03-01,74,11
2021-04-01,76,11
2021-05-01,74,11
2021-06-01,72,11
2021-07-01,73,11
2021-08-01,73,11
2021-09-01,72,11
2021-10-01,71,11
2021-11-01,72,11
2021-12-01,73,11
2022-01-01,76,12
2022-02-01,77,12
2022-03-01,103,16
2022-04-01,77,12
2022-05-01,63,9
2022-06-01,57,8
2022-07-01,58,8
2022-08-01,60,8
2022-09-01,59,8
2022-10-01,61,8
2022-11-01,60,8
2022-12-01,65,9
2023-01-01,68,10
2023-02-01,72,10
2023-03-01,76,11
2023-04-01,80,11
2023-05-01,79,11
2023-06-01,83,11
2023-07-01,90,12
2023-08-01,95,13
2023-09-01,96,13
2023-10-01,97,13
2023-11-01,92,12
