iter	Passed	Remaining
0	674	336570
1	1341	334071
2	2060	341367
3	2796	346815
4	3479	344494
5	4086	336459
6	4619	325350
7	5266	323907
8	5842	318738
9	6336	310470
10	6919	307596
11	7508	305356
12	8097	303348
13	8621	299290
14	9188	297096
15	9857	298200
16	10332	293560
17	10835	290162
18	11362	287652
19	12019	288457
20	12553	286334
21	13101	284664
22	13624	282565
23	14177	281188
24	14683	278987
25	15168	276537
26	15663	274402
27	16168	272562
28	16690	271082
29	17172	269040
30	17656	267130
31	18139	265290
32	18627	263604
33	19134	262257
34	19576	260089
35	20057	258523
36	20592	257678
37	21124	256826
38	21662	256057
39	22162	254874
40	22673	253837
41	23174	252710
42	23673	251596
43	24134	250118
44	24621	248955
45	25179	248515
46	25708	247785
47	26254	247228
48	26745	246170
49	27244	245202
50	27795	244705
51	28280	243651
52	28794	242851
53	29309	242071
54	29861	241607
55	30366	240761
56	30992	240873
57	31459	239745
58	31955	238856
59	32543	238649
60	33006	237538
61	33538	236932
62	34054	236220
63	34505	235066
64	34998	234219
65	35544	233731
66	36053	233001
67	36572	232343
68	37049	231424
69	37499	230354
70	38105	230245
71	38572	229294
72	39027	228286
73	39494	227359
74	40025	226810
75	40517	226044
76	41007	225273
77	41541	224752
78	42085	224277
79	42597	223639
80	43134	223126
81	43640	222460
82	44139	221761
83	44696	221356
84	45155	220467
85	45667	219842
86	46207	219354
87	46679	218546
88	47216	218044
89	47702	217312
90	48207	216669
91	48707	216005
92	49236	215475
93	49885	215464
94	50393	214833
95	50867	214068
96	51354	213359
97	51943	213073
98	52476	212554
99	52998	211994
100	53537	211498
101	54016	210771
102	54481	209991
103	54989	209381
104	55427	208514
105	55912	207824
106	56419	207222
107	56896	206513
108	57442	206055
109	57976	205552
110	58512	205057
111	58983	204337
112	59483	203717
113	59998	203153
114	60533	202654
115	61025	202014
116	61503	201331
117	62011	200749
118	62513	200148
119	62969	199402
120	63434	198690
121	63989	198261
122	64459	197571
123	64965	196991
124	65443	196329
125	65917	195658
126	66455	195179
127	66936	194534
128	67424	193911
129	67916	193299
130	68405	192684
131	68874	192012
132	69360	191392
133	69890	190894
134	70397	190333
135	70899	189759
136	71414	189223
137	71915	188647
138	72381	187982
139	72939	187558
140	73433	186969
141	73970	186489
142	74451	185869
143	74913	185202
144	75368	184523
145	75859	183934
146	76391	183443
147	76940	182992
148	77433	182410
149	77946	181875
150	78422	181255
151	78948	180751
152	79411	180104
153	79864	179435
154	80430	179023
155	80922	178445
156	81370	177771
157	81940	177365
158	82460	176848
159	82946	176260
160	83442	175695
161	83923	175098
162	84377	174448
163	84898	173937
164	85344	173274
165	85799	172632
166	86296	172076
167	86766	171467
168	87236	170860
169	87748	170334
170	88214	169722
171	88702	169154
172	89179	168565
173	89645	167955
174	90115	167357
175	90612	166810
176	91163	166360
177	91638	165772
178	92190	165324
179	92687	164777
180	93176	164217
181	93679	163682
182	94142	163078
183	94771	162760
184	95298	162265
185	95804	161734
186	96308	161200
187	96852	160734
188	97326	160151
189	97785	159544
190	98376	159154
191	98883	158625
192	99455	158201
193	100164	157990
194	100812	157681
195	101394	157264
196	101911	156746
197	102440	156247
198	102940	155703
199	103495	155242
200	103989	154691
201	104484	154140
202	104988	153603
203	105526	153117
204	106027	152576
205	106530	152038
206	107061	151541
207	107592	151043
208	108101	150514
209	108629	150012
210	109121	149460
211	109596	148886
212	110132	148394
213	110638	147862
214	111115	147292
215	111608	146745
216	112152	146263
217	112622	145685
218	113126	145153
219	113607	144591
220	114109	144057
221	114657	143580
222	115149	143033
223	115670	142522
224	116200	142022
225	116692	141477
226	117185	140932
227	117688	140400
228	118168	139840
229	118680	139320
230	119185	138791
231	119714	138290
232	120208	137750
233	120684	137188
234	121162	136629
235	121701	136141
236	122193	135598
237	122668	135038
238	123150	134486
239	123662	133967
240	124094	133362
241	124570	132806
242	125029	132233
243	125495	131667
244	125927	131067
245	126373	130483
246	126871	129953
